ID	Title	URL	Version	Word count	OWE	SPURIOUS	SPECIFIC	LETTER	ROUNDUP	NON-UK EDITION	NON-ENGLISH	VIDEO	NON-DISRUPTIVE OWE	OWE_FOCUSSED	OWE_SPECIFIC_LLM	OWE_SPECIFIC_HUMAN	PASSES_SCREENING	PASSES_SCREENING_SPECIFIC	SUMMARY_CHECK	CORRECTION_INSTRUCTIONS	REPLACED_FIELDS
Metro_None_I-thought-I-had	I thought I had food poisoning – it took 4 days to realise it was a heart attack	https://metro.co.uk/2023/10/14/i-thought-i-had-food-poisoning-it-was-a-heart-attack-19621478/	original	1312	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2024-02-14_BBCs-Chris-Packham	BBC's Chris Packham tells court he 'selectively' supports Just Stop Oil while appearing as witness in trial of activist who scaled M25 gantry	https://www.dailymail.co.uk/news/article-13083377/BBCs-Chris-Packham-tells-court-selectively-supports-Just-Stop-Oil-appearing-witness-trial-activist-scaled-M25-gantry.html	original	692	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		caption1
Metro_None_Elon-Musk-is-cosplaying	Elon Musk is cosplaying as Jewish. But no Jew would do what he has done	https://metro.co.uk/2024/01/23/elon-musk-cos-playing-jewish-no-jew-done-20160275/	original	1239	No	Yes	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_2024-02-18_Nakedpersononbus-is-surprisingly	‘Naked-person-on-bus is surprisingly common’: meet the cool-headed controllers who really run the country	https://www.theguardian.com/uk-news/2024/feb/18/meet-the-cool-headed-controllers-who-really-run-the-country	original	2888	No	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
BBC_2024-07-21_Fined-for-yellow-and	Fined for yellow and blue shoes: How Russian laws smother dissent	https://www.bbc.com/news/articles/cw4yv7nv8xlo	original	945	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
BBC_2025-01-24_Russia-suffering-environmental-catastrophe	Russia suffering 'environmental catastrophe' after oil spill in Kerch Strait	https://www.bbc.com/news/articles/c23ngk5vgmpo	original	1015	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_2025-01-25_I-was-jailed-for	I was jailed for four years for a non-violent climate protest – this is my prison diary	https://www.theguardian.com/environment/2025/jan/25/just-stop-oil-jailed-four-years-non-violent-climate-protest-prison-diary	original	4547	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe unspecific	Yes	No	no_check		
Telegraph_2024-06-13_Its-very-personal-Vivienne	‘It’s very personal’: Vivienne Westwood’s husband on auctioning her wardrobe	https://www.telegraph.co.uk/fashion/news/vivienne-westwood-andreas-kronthaler-auction-christies/	original	1054	No	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2023-10-11_Labour-sells-Sparkle	Labour sells 'Sparkle With Starmer' t-shirt for £20 after Sir Keir is covered in glitter by a protester at his keynote conference speech	https://www.dailymail.co.uk/news/article-12617171/Labour-sells-Sparkle-Starmer-t-shirt-20-Sir-Keir-covered-glitter-protester-keynote-conference-speech.html	original	569	Yes	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Metro_None_Unable-to-cope-with	Unable to cope with my diabetes diagnosis, I tried to take my life	https://metro.co.uk/2023/11/21/unable-cope-diabetes-diagnosis-tried-take-life-19848495/	original	1782	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
